node122,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node1209,Cores per socket,20
node1209,Sockets,2
node1209,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1210,Cores per socket,20
node1210,Sockets,2
node1210,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1212,Cores per socket,20
node1212,Sockets,2
node1212,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1211,Cores per socket,20
node1211,Sockets,2
node1211,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1215,Cores per socket,20
node1215,Sockets,2
node1215,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1213,Cores per socket,20
node1213,Sockets,2
node1213,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1216,Cores per socket,20
node1216,Sockets,2
node1216,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1214,Cores per socket,20
node1214,Sockets,2
node1214,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1219,Cores per socket,20
node1219,Sockets,2
node1219,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1228,Cores per socket,24
node1228,Sockets,2
node1228,Model name,IntelR XeonR Platinum 8268 CPU @ 2.90GHz
node1229,Cores per socket,24
node1229,Sockets,2
node1229,Model name,IntelR XeonR Platinum 8268 CPU @ 2.90GHz
node1218,Cores per socket,20
node1218,Sockets,2
node1218,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1217,Cores per socket,20
node1217,Sockets,2
node1217,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1230,Cores per socket,24
node1230,Sockets,2
node1230,Model name,IntelR XeonR Platinum 8268 CPU @ 2.90GHz
node1225,Cores per socket,24
node1225,Sockets,2
node1225,Model name,IntelR XeonR Gold 6240R CPU @ 2.40GHz
node1226,Cores per socket,24
node1226,Sockets,2
node1226,Model name,IntelR XeonR Gold 6240R CPU @ 2.40GHz
node1224,Cores per socket,24
node1224,Sockets,2
node1224,Model name,IntelR XeonR Gold 6240R CPU @ 2.40GHz
node1223,Cores per socket,26
node1223,Sockets,2
node1223,Model name,IntelR XeonR Gold 6230R CPU @ 2.10GHz
node1220,Cores per socket,20
node1220,Sockets,2
node1220,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1222,Cores per socket,20
node1222,Sockets,2
node1222,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1221,Cores per socket,20
node1221,Sockets,2
node1221,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1231,Cores per socket,20
node1231,Sockets,2
node1231,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1227,Cores per socket,24
